Organization,State,Program,Award Amount,Award Date,Type
University of Arizona,AZ,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
Palo Alto Veterans Institute For Research,CA,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
"American National Red Cross, The",DC,Fire Prevention and Safety,"$1,500,000.00 ",9/10/2021,FPS
International Association of Firefighters,DC,Fire Prevention and Safety,"$1,499,860.95 ",9/10/2021,FPS
"Wichita, City of (Inc)",KS,Fire Prevention and Safety,"$1,066,666.67 ",9/10/2021,FPS
University of Massachusetts,MA,Research and Development,"$863,223.81 ",9/10/2021,FPS
"Fire Protection Research Foundation, The",MA,Research and Development,"$1,000,000.52 ",9/10/2021,FPS
Cambridge Public Health Commission,MA,Research and Development,"$1,179,716.19 ",9/10/2021,FPS
"National Fallen Firefighters Foundation, The",MD,Fire Prevention and Safety,"$1,499,996.17 ",9/10/2021,FPS
"Institution of Fire Engineers, United States of America Branch, The",MD,Fire Prevention and Safety,"$1,008,314.29 ",9/10/2021,FPS
"International Association of Arson Investigators, Inc.",MD,Fire Prevention and Safety,"$1,294,857.14 ",9/10/2021,FPS
"University of Maryland, College Park",MD,Fire Prevention and Safety,"$126,488.46 ",9/10/2021,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention and Safety,"$1,428,571.43 ",9/10/2021,FPS
Michigan Public Health Institute,MI,Fire Prevention and Safety,"$1,408,797.00 ",9/10/2021,FPS
Fire Department Safety officers Association,MI,Fire Prevention and Safety,"$1,500,000.00 ",9/10/2021,FPS
North Carolina State University,NC,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
Duke University,NC,Fire Prevention and Safety,"$1,180,123.80 ",9/10/2021,FPS
"Ndri - Usa, Inc.",NY,Research and Development,"$225,000.00 ",9/10/2021,FPS
New York University,NY,Fire Prevention and Safety,"$1,427,705.72 ",9/10/2021,FPS
Pleasant Valley Joint Fire District,OH,Fire Prevention and Safety,"$23,071.43 ",9/10/2021,FPS
Middle Taylor Township Volunteer Fire Company,PA,Fire Prevention and Safety,"$22,857.14 ",9/10/2021,FPS
"Spangler Fire Company, The",PA,Fire Prevention and Safety,"$15,238.10 ",9/10/2021,FPS
University of Texas At Austin,TX,Research and Development,"$1,045,594.48 ",9/10/2021,FPS
Fairfax County Virginia,VA,Fire Prevention and Safety,"$60,250.27 ",9/10/2021,FPS
West Side Volunteer Fire Fighters,WV,Fire Prevention and Safety,"$13,000.00 ",9/10/2021,FPS
"Oneonta, City of",AL,Fire Prevention and Safety,"$47,619.05 ",9/3/2021,FPS
Pinetop Fire District,AZ,Fire Prevention and Safety,"$27,439.05 ",9/3/2021,FPS
Rincon Valley Fire District,AZ,Fire Prevention and Safety,"$19,657.14 ",9/3/2021,FPS
Golder Ranch Fire District,AZ,Fire Prevention and Safety,"$24,304.38 ",9/3/2021,FPS
Arizona Fire & Medical Authority,AZ,Fire Prevention and Safety,"$46,848.59 ",9/3/2021,FPS
Alisa Ann Ruch Burn Foundation,CA,Fire Prevention and Safety,"$365,371.43 ",9/3/2021,FPS
"Montebello, City of",CA,Fire Prevention and Safety,"$188,843.47 ",9/3/2021,FPS
"Rancho Cucamonga, City of",CA,Fire Prevention and Safety,"$82,383.33 ",9/3/2021,FPS
"Oxnard, City of",CA,Fire Prevention and Safety,"$346,833.33 ",9/3/2021,FPS
"Fresno, City of",CA,Fire Prevention and Safety,"$7,842.55 ",9/3/2021,FPS
North Tahoe Fire Protection District,CA,Fire Prevention and Safety,"$122,021.43 ",9/3/2021,FPS
"Manteca, City of",CA,Fire Prevention and Safety,"$3,091.43 ",9/3/2021,FPS
"Denver, City & County of",CO,Fire Prevention and Safety,"$59,068.57 ",9/3/2021,FPS
Colorado Springs City Government,CO,Fire Prevention and Safety,"$43,733.34 ",9/3/2021,FPS
Canon City Area Fire Protection District,CO,Fire Prevention and Safety,"$7,850.48 ",9/3/2021,FPS
"Aurora, City of",CO,Fire Prevention and Safety,"$198,500.95 ",9/3/2021,FPS
"Stratford, Town of",CT,Fire Prevention and Safety,"$60,891.43 ",9/3/2021,FPS
"Tampa, City of",FL,Fire Prevention and Safety,"$52,451.43 ",9/3/2021,FPS
"Osceola, City of",IA,Fire Prevention and Safety,"$180,223.33 ",9/3/2021,FPS
"Brookfield, Village of",IL,Fire Prevention and Safety,"$54,863.81 ",9/3/2021,FPS
"Champaign, City of",IL,Fire Prevention and Safety,"$53,600.00 ",9/3/2021,FPS
Louisville-Jefferson County Metro Government,KY,Fire Prevention and Safety,"$376,190.48 ",9/3/2021,FPS
"State Fire Marshal's office, Louisiana",LA,Fire Prevention and Safety,"$160,714.29 ",9/3/2021,FPS
"Donaldsonville, City of",LA,Fire Prevention and Safety,"$9,523.81 ",9/3/2021,FPS
"Quincy, City of",MA,Fire Prevention and Safety,"$23,315.81 ",9/3/2021,FPS
"Boston, City of",MA,Fire Prevention and Safety,"$74,266.67 ",9/3/2021,FPS
"First Responder Center For Excellence For Reducing Occupational Illness, Injuries And Dea",MD,Fire Prevention and Safety,"$846,906.76 ",9/3/2021,FPS
National Fire Sprinkler Association Inc,MD,Fire Prevention and Safety,"$276,761.90 ",9/3/2021,FPS
"Stanton Township Volunteer Fire Department Precinct #1, Inc",MI,Fire Prevention and Safety,"$24,642.86 ",9/3/2021,FPS
"Grand Rapids, City of",MI,Fire Prevention and Safety,"$284,322.86 ",9/3/2021,FPS
"Benton Harbor, City of",MI,Fire Prevention and Safety,"$23,809.52 ",9/3/2021,FPS
"Hamtramck, City of",MI,Fire Prevention and Safety,"$14,667.62 ",9/3/2021,FPS
"Rochester, City of",MI,Fire Prevention and Safety,"$25,238.10 ",9/3/2021,FPS
Cloquet Area Fire District,MN,Fire Prevention and Safety,"$18,826.29 ",9/3/2021,FPS
Midcounty Fire Protection District,MO,Fire Prevention and Safety,"$5,022.86 ",9/3/2021,FPS
City of Great Falls,MT,Fire Prevention and Safety,"$6,266.67 ",9/3/2021,FPS
"Davidson, Town of",NC,Fire Prevention and Safety,"$34,535.24 ",9/3/2021,FPS
"Mccook, City of",NE,Fire Prevention and Safety,"$189,245.71 ",9/3/2021,FPS
"Claremont, City of",NH,Fire Prevention and Safety,"$14,285.71 ",9/3/2021,FPS
"Terry Farrell Firefighters Scholarship Fund, Incorporated, The",NY,Fire Prevention and Safety,"$82,873.46 ",9/3/2021,FPS
"Chautauqua Children's Safety Education Village, Inc",NY,Fire Prevention and Safety,"$90,000.00 ",9/3/2021,FPS
"New Rochelle, City of",NY,Fire Prevention and Safety,"$41,142.86 ",9/3/2021,FPS
"Strykersville Volunteer Fire Company, Inc.",NY,Fire Prevention and Safety,"$33,914.29 ",9/3/2021,FPS
Harrison Township Board of Trustees,OH,Fire Prevention and Safety,"$38,038.10 ",9/3/2021,FPS
"Cleveland, City of",OH,Fire Prevention and Safety,"$131,428.57 ",9/3/2021,FPS
"Piqua, City of",OH,Fire Prevention and Safety,"$47,618.10 ",9/3/2021,FPS
Olmsted Township,OH,Fire Prevention and Safety,"$16,190.48 ",9/3/2021,FPS
"Twinsburg, City of",OH,Fire Prevention and Safety,"$8,333.33 ",9/3/2021,FPS
"Garfield Heights, City of",OH,Fire Prevention and Safety,"$71,428.58 ",9/3/2021,FPS
"Philadelphia, City of",PA,Fire Prevention and Safety,"$376,904.76 ",9/3/2021,FPS
Fire Department of Montgomery Township,PA,Fire Prevention and Safety,"$75,238.10 ",9/3/2021,FPS
Goshen Fire Company,PA,Fire Prevention and Safety,"$4,208.91 ",9/3/2021,FPS
Medical University of South Carolina The,SC,Fire Prevention and Safety,"$496,110.63 ",9/3/2021,FPS
"Edventure, Inc.",SC,Fire Prevention and Safety,"$666,171.42 ",9/3/2021,FPS
"Georgetown, County of",SC,Fire Prevention and Safety,"$56,190.48 ",9/3/2021,FPS
"Whitesboro, City of",TX,Fire Prevention and Safety,"$3,876.19 ",9/3/2021,FPS
"West Jordan, City of",UT,Fire Prevention and Safety,"$19,044.29 ",9/3/2021,FPS
International Society of Fire Service Instructors,VA,Fire Prevention and Safety,"$537,246.25 ",9/3/2021,FPS
"Danville, City of",VA,Fire Prevention and Safety,"$125,889.52 ",9/3/2021,FPS
Spokane Valley Fire Department,WA,Fire Prevention and Safety,"$61,761.90 ",9/3/2021,FPS
"La Crosse, City of",WI,Fire Prevention and Safety,"$97,785.71 ",9/3/2021,FPS
"Orange, County of",CA,Fire Prevention and Safety,"$152,892 ",8/27/2021,FPS
"New Britain, City of",CT,Fire Prevention and Safety,"$28,571 ",8/27/2021,FPS
"District of Columbia, Government of",DC,Fire Prevention and Safety,"$43,829 ",8/27/2021,FPS
City of Brooksville,FL,Fire Prevention and Safety,"$9,524 ",8/27/2021,FPS
Clermont Fire Department,FL,Fire Prevention and Safety,"$4,381 ",8/27/2021,FPS
"Statesboro, City of",GA,Fire Prevention and Safety,"$13,333 ",8/27/2021,FPS
"Newton, County of",GA,Fire Prevention and Safety,"$11,354 ",8/27/2021,FPS
"Rockford, City of",IL,Fire Prevention and Safety,"$46,429 ",8/27/2021,FPS
"East Longmeadow, Town of",MA,Fire Prevention and Safety,"$6,271 ",8/27/2021,FPS
Jerome Township Hall,MI,Fire Prevention and Safety,"$6,800 ",8/27/2021,FPS
Cedar Hill Fire Protection District,MO,Fire Prevention and Safety,"$32,705 ",8/27/2021,FPS
"Fayetteville, City of",NC,Fire Prevention and Safety,"$30,022 ",8/27/2021,FPS
"Akron, City of",OH,Fire Prevention and Safety,"$67,088 ",8/27/2021,FPS
Loveland Symmes Fire Department,OH,Fire Prevention and Safety,"$58,095 ",8/27/2021,FPS
"Kent, City of",OH,Fire Prevention and Safety,"$21,516 ",8/27/2021,FPS
"Fairfield, City of",OH,Fire Prevention and Safety,"$15,843 ",8/27/2021,FPS
"Xenia, City of",OH,Fire Prevention and Safety,"$12,639 ",8/27/2021,FPS
"Tulsa, City of",OK,Fire Prevention and Safety,"$79,810 ",8/27/2021,FPS
"Scranton, City of (Inc)",PA,Fire Prevention and Safety,"$42,857 ",8/27/2021,FPS
"Altoona, City of",PA,Fire Prevention and Safety,"$23,810 ",8/27/2021,FPS
"Warren, City of",PA,Fire Prevention and Safety,"$12,857 ",8/27/2021,FPS
"Gilt Edge, City of",TN,Fire Prevention and Safety,"$18,129 ",8/27/2021,FPS
"El Paso, City of",TX,Fire Prevention and Safety,"$29,906 ",8/27/2021,FPS
Loudoun County,VA,Fire Prevention and Safety,"$14,892 ",8/27/2021,FPS
City of Vancouver,WA,Fire Prevention and Safety,"$209,351 ",8/27/2021,FPS
Renton Regional Fire Authority,WA,Fire Prevention and Safety,"$17,143 ",8/27/2021,FPS
Northwest Fire District,AZ,Fire Prevention and Safety,"$25,234 ",8/20/2021,FPS
Carpinteria-Summerland Fire Protection District,CA,Fire Prevention and Safety,"$61,905 ",8/20/2021,FPS
Windsor Severance Fire Protection District,CO,Fire Prevention and Safety,"$86,190 ",8/20/2021,FPS
"Lake, County of",FL,Fire Prevention and Safety,"$47,619 ",8/20/2021,FPS
Home Fire Sprinkler Coalition,MA,Fire Prevention and Safety,"$397,314 ",8/20/2021,FPS
"Fire Protection Research Foundation, The",MA,Fire Prevention and Safety,"$190,476 ",8/20/2021,FPS
"Society of Fire Protection Engineers, Inc.",MD,Fire Prevention and Safety,"$147,619 ",8/20/2021,FPS
"Detroit, City of",MI,Fire Prevention and Safety,"$213,810 ",8/20/2021,FPS
"Newport, Town of",NH,Fire Prevention and Safety,"$22,800 ",8/20/2021,FPS
"Las Cruces, City of",NM,Fire Prevention and Safety,"$46,076 ",8/20/2021,FPS
Skidmore College,NY,Fire Prevention and Safety,"$579,069 ",8/20/2021,FPS
Cumberland Valley Volunteer Firemen's Association,PA,Fire Prevention and Safety,"$318,246 ",8/20/2021,FPS
Emmaus Fire Department,PA,Fire Prevention and Safety,"$4,762 ",8/20/2021,FPS
"Gantt Fire, Sewer & Police District",SC,Fire Prevention and Safety,"$2,381 ",8/20/2021,FPS
"Horry, County of",SC,Fire Prevention and Safety,"$267,683 ",8/20/2021,FPS
"Signal Mountain, Town of",TN,Fire Prevention and Safety,"$26,190 ",8/20/2021,FPS
Texas State University,TX,Fire Prevention and Safety,"$418,295 ",8/20/2021,FPS
"Travis, County of",TX,Fire Prevention and Safety,"$102,405 ",8/20/2021,FPS
"Chelan, County of",WA,Fire Prevention and Safety,"$159,168 ",8/20/2021,FPS
"Ndri - Usa, Inc.",NY,Research and Development,"$1,068,883 ",9/23/2020,FPS
Baylor Research Institute,TX,Fire Prevention and Safety,"$1,383,083 ",9/23/2020,FPS
"International Association of Fire Chiefs, Inc.",VA,Fire Prevention and Safety,"$1,428,079 ",9/23/2020,FPS
International Fire Service Research Center & Policy Institute,VA,Fire Prevention and Safety,"$1,376,464 ",9/23/2020,FPS
"National Fire Protection Association, Inc.",MA,Fire Prevention and Safety,"$1,437,434 ",9/23/2020,FPS
"National Fallen Firefighters Foundation, The",MD,Fire Prevention and Safety,"$1,499,996 ",9/23/2020,FPS
"First Responder Center For Excellence For Reducing Occupational Illness, Injuries And Dea",MD,Fire Prevention and Safety,"$1,120,528 ",9/23/2020,FPS
Michigan Public Health Institute,MI,Fire Prevention and Safety,"$1,486,610 ",9/23/2020,FPS
"Rutgers, The State University of New Jersey",NJ,Research and Development,"$1,495,212 ",9/23/2020,FPS
"Fire Protection Research Foundation, The",MA,Research and Development,"$1,296,341 ",9/23/2020,FPS
"American National Red Cross, The",DC,Fire Prevention and Safety,"$1,500,000 ",9/23/2020,FPS
Underwriters Laboratories Inc.,IL,Research and Development,"$1,499,998 ",9/23/2020,FPS
"National Institute For Public Safety Health, Inc.",IN,Research and Development,"$1,500,000 ",9/23/2020,FPS
University of Arizona,AZ,Research and Development,"$1,500,000 ",9/23/2020,FPS
"Thornton, City of",CO,Fire Prevention and Safety,"$1,186,635 ",9/23/2020,FPS
International Association of Firefighters,DC,Fire Prevention and Safety,"$1,499,957 ",9/23/2020,FPS
"Hanover, Town Of",MA,Fire Prevention and Safety,"$82,897 ",9/16/2020,FPS
"Rock Hill, City Of",SC,Fire Prevention and Safety,"$99,865 ",9/16/2020,FPS
"Fort Worth, City of",TX,Fire Prevention and Safety,"$82,411 ",9/20/2009,FPS
"Kittitas, County of",WA,Fire Prevention and Safety,"$77,180 ",9/20/2009,FPS
"La Crosse, City of",WI,Fire Prevention and Safety,"$104,761 ",9/20/2009,FPS
City of Edmond,OK,Fire Prevention and Safety,"$19,047 ",9/20/2009,FPS
Oklahoma State University,OK,Fire Prevention and Safety,"$281,475 ",9/20/2009,FPS
"Williamsport, City of",PA,Fire Prevention and Safety,"$49,059 ",9/20/2009,FPS
"Commerce And Insurance, Tennessee Department of",TN,Fire Prevention and Safety,"$251,190 ",9/20/2009,FPS
"Abilene, City of",TX,Fire Prevention and Safety,"$14,583 ",9/20/2009,FPS
City of Conover,NC,Fire Prevention and Safety,"$21,134 ",9/20/2009,FPS
"City of Hastings, Nebraska",NE,Fire Prevention and Safety,"$22,857 ",9/20/2009,FPS
"Hobbs, City of",NM,Fire Prevention and Safety,"$46,985 ",9/20/2009,FPS
"Reno, City of",NV,Fire Prevention and Safety,"$80,640 ",9/20/2009,FPS
Nevada System of Higher Education,NV,Fire Prevention and Safety,"$212,950 ",9/20/2009,FPS
"Hudson, City of",OH,Fire Prevention and Safety,"$46,342 ",9/20/2009,FPS
"Boston, City of",MA,Fire Prevention and Safety,"$58,000 ",9/20/2009,FPS
"Baltimore County, Maryland",MD,Fire Prevention and Safety,"$410,000 ",9/20/2009,FPS
"Johns Hopkins University, The",MD,Fire Prevention and Safety,"$951,543 ",9/20/2009,FPS
"Leland, Town of",NC,Fire Prevention and Safety,"$22,857 ",9/20/2009,FPS
"Wildfire Conservancy, Inc., The",CA,Fire Prevention and Safety,"$997,102 ",9/20/2009,FPS
"Firefighter Cancer Support Network, Inc.",CA,Fire Prevention and Safety,"$994,581 ",9/20/2009,FPS
Rancho Santa Fe Fire Dept,CA,Fire Prevention and Safety,"$17,142 ",9/20/2009,FPS
"National Disability Rights Network, Inc.",DC,Fire Prevention and Safety,"$451,549 ",9/20/2009,FPS
"Nantucket, County of",MA,Fire Prevention and Safety,"$43,175 ",9/20/2009,FPS
"Worcester, City of",MA,Fire Prevention and Safety,"$117,183 ",9/20/2009,FPS
Butte County Fire Department,CA,Fire Prevention and Safety,"$682,464 ",9/20/2009,FPS
"Ventura, County of",CA,Fire Prevention and Safety,"$195,236 ",9/20/2009,FPS
"Forrest City, City of (Inc)",AR,Fire Prevention and Safety,"$23,200 ",9/20/2009,FPS
Sonora Environmental Research Institute Inc,AZ,Fire Prevention and Safety,"$108,312 ",9/20/2009,FPS
"El Paso De Robles, City of",CA,Fire Prevention and Safety,"$102,054 ",9/20/2009,FPS
"Los Angeles, County of",CA,Fire Prevention and Safety,"$345,238 ",9/20/2009,FPS
"Hillsborough, County Of",FL,Fire Prevention and Safety,"$177,030 ",2/20/2009,FPS
"Baptist Children's Homes Of North Carolina, Incorporated",NC,Fire Prevention and Safety,"$40,680 ",2/20/2009,FPS
"Yonkers, City Of",NY,Fire Prevention and Safety,"$203,809 ",2/20/2009,FPS
Cumberland Valley Volunteer Firemen's Association,WV,Fire Prevention and Safety,"$532,866 ",8/31/2020,FPS
Wyoming Department of Fire Prevention,WY,Fire Prevention and Safety,"$95,230 ",8/31/2020,FPS
City of Vancouver,WA,Fire Prevention and Safety,"$223,705 ",8/31/2020,FPS
"Chelan, County of",WA,Fire Prevention and Safety,"$151,619 ",8/31/2020,FPS
"Professional Fire Fighters of Wisconsin Charitable Foundation, Inc.",WI,Fire Prevention and Safety,"$65,040 ",8/31/2020,FPS
"Hays, County of",TX,Fire Prevention and Safety,"$5,866 ",8/31/2020,FPS
"Houston, City of",TX,Fire Prevention and Safety,"$16,350 ",8/31/2020,FPS
Loudoun County,VA,Fire Prevention and Safety,"$8,474 ",8/31/2020,FPS
City of Roanoke,VA,Fire Prevention and Safety,"$5,752 ",8/31/2020,FPS
Puget Sound Regional Fire Authority,WA,Fire Prevention and Safety,"$115,403 ",8/31/2020,FPS
"Seattle, City of",WA,Fire Prevention and Safety,"$188,242 ",8/31/2020,FPS
"First Twenty, The",PA,Fire Prevention and Safety,"$339,333 ",8/31/2020,FPS
"Memphis, City of",TN,Fire Prevention and Safety,"$38,011 ",8/31/2020,FPS
"Erie, City of",PA,Fire Prevention and Safety,"$108,745 ",8/31/2020,FPS
"Chester, City of",PA,Fire Prevention and Safety,"$137,380 ",8/31/2020,FPS
Walls Volunteer Fire Department,MS,Fire Prevention and Safety,"$22,545 ",8/31/2020,FPS
"Asheville, City of",NC,Fire Prevention and Safety,"$42,883 ",8/31/2020,FPS
"Fdny Foundation, Inc.",NY,Fire Prevention and Safety,"$790,133 ",8/31/2020,FPS
"Cortland, City of",NY,Fire Prevention and Safety,"$32,000 ",8/31/2020,FPS
City of Cincinnati,OH,Fire Prevention and Safety,"$109,823 ",8/31/2020,FPS
"Akron, City of",OH,Fire Prevention and Safety,"$24,228 ",8/31/2020,FPS
Perry Township Board of Trustees,OH,Fire Prevention and Safety,"$55,238 ",8/31/2020,FPS
"Portland, City of",OR,Fire Prevention and Safety,"$238,095 ",8/31/2020,FPS
Russellville Rural Fire Department,KY,Fire Prevention and Safety,"$8,666 ",8/31/2020,FPS
Scott Volunteer Fire Department,LA,Fire Prevention and Safety,"$2,180 ",8/31/2020,FPS
"Malden, City of",MA,Fire Prevention and Safety,"$16,666 ",8/31/2020,FPS
"Dearborn, City of (Inc)",MI,Fire Prevention and Safety,"$90,400 ",8/31/2020,FPS
Women In Fire,MN,Fire Prevention and Safety,"$543,907 ",8/31/2020,FPS
"City of St Louis, The",MO,Fire Prevention and Safety,"$149,523 ",8/31/2020,FPS
"Sioux City, City of",IA,Fire Prevention and Safety,"$26,285 ",8/31/2020,FPS
"Park Forest, Village of",IL,Fire Prevention and Safety,"$26,190 ",8/31/2020,FPS
"Evanston, City of",IL,Fire Prevention and Safety,"$9,523 ",8/31/2020,FPS
"Brownsburg, Town of",IN,Fire Prevention and Safety,"$44,857 ",8/31/2020,FPS
Lexington-Fayette Urban County Government,KY,Fire Prevention and Safety,"$23,810 ",8/31/2020,FPS
Upper Pine River Fire Protection District,CO,Fire Prevention and Safety,"$155,193 ",8/31/2020,FPS
"Aurora, City of",CO,Fire Prevention and Safety,"$58,738 ",8/31/2020,FPS
"Seminole, County of",FL,Fire Prevention and Safety,"$169,504 ",8/31/2020,FPS
"San Bruno, City of Municipal Government",CA,Fire Prevention and Safety,"$14,285 ",8/31/2020,FPS
Burn Institute,CA,Fire Prevention and Safety,"$116,144 ",8/31/2020,FPS
Sacramento Metropolitan Fire District,CA,Fire Prevention and Safety,"$249,064 ",8/31/2020,FPS
"Phoenix, City of",AZ,Fire Prevention and Safety,"$72,066 ",8/31/2020,FPS
Rincon Valley Fire District,AZ,Fire Prevention and Safety,"$35,203 ",8/31/2020,FPS
Yarnell Fire Department,AZ,Fire Prevention and Safety,"$32,190 ",8/31/2020,FPS
East Contra Costa Fire Protection District,CA,Fire Prevention and Safety,"$13,894 ",8/31/2020,FPS
San Mateo Consolidated Fire Department,CA,Fire Prevention and Safety,"$80,952 ",8/31/2020,FPS
International Society Of Fire Service Instructors,VA,Fire prevention and safety,"$500,333 ",1/19/2001,FPS
CITY OF VANCOUVER,WA,Fire prevention and safety,"$213,758 ",1/19/2001,FPS
MIDDLE TENNESSEE STATE UNIVERSITY,TN,Research and development,"$224,997 ",1/19/2001,FPS
Travis County Emergency Services District 1,TX,Fire prevention and safety,"$76,476 ",1/19/2001,FPS
